epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,301.772,2.69245,7.78439,1.63267,0.26699,0.09266,0.03526,0.01332,2.60424,7.55424,1.64626,0.00033251,0.00033251,0.0670815
2,613.024,2.53056,6.94041,1.56751,0.16879,0.15215,0.07101,0.02658,2.56552,7.04431,1.56822,0.000664038,0.000664038,0.0340797
3,884.614,2.46864,6.62515,1.53499,0.15326,0.17936,0.08436,0.034,2.50544,6.67047,1.55772,0.000988369,0.000988369,0.00107067
4,1148.13,2.4324,6.45909,1.51307,0.18795,0.18255,0.10687,0.04468,2.43957,6.37425,1.5577,0.000975773,0.000975773,0.000975773
5,1444.13,2.39403,6.34603,1.49349,0.22327,0.203,0.11029,0.04457,2.42606,6.4209,1.5201,0.000957205,0.000957205,0.000957205
6,1769.57,2.35432,6.15307,1.48373,0.24634,0.20356,0.14977,0.05916,2.40254,6.12443,1.50869,0.000933683,0.000933683,0.000933683
7,2078.74,2.3297,6.05517,1.46635,0.27598,0.21036,0.15634,0.06619,2.35406,5.95075,1.47304,0.000905463,0.000905463,0.000905463
8,2378.14,2.31608,5.97789,1.45964,0.28024,0.22157,0.16519,0.06835,2.33067,5.80545,1.47782,0.000872857,0.000872857,0.000872857
9,2670.74,2.29716,5.83,1.4547,0.29203,0.21282,0.17348,0.07029,2.34472,5.74507,1.46889,0.00083622,0.00083622,0.00083622
10,2958.23,2.26278,5.74213,1.44351,0.29591,0.2376,0.18018,0.07851,2.29213,5.70576,1.43249,0.000795954,0.000795954,0.000795954
